sentiment	review	email	review_dt
negative	This product stinks.	john@gmail.com	2020-04-04
positive	Mostly this is a great product.	mark@dept.gov	2020-07-24
positive	Great product. Call at (555)-666-7777.	frank#jetson.com	2020-02-05
positive	My phone is 111.222.3333. GOOD product mostly.	ann@tech.io	2020-01-24
positive	Some parts are good but some are ok.	john#@dept.gov	2021-01-04
positive	I like this product.	bill#@uni.edu	2020-09-06
unknown	I disklike it so call me at 222-333-4444.	joe#@uni.edu	2020-06-10
negative	A terrible product and (333) 444-5555 is my phone.	mike@acme.com	2020-02-15
negative	Can call at 444 555 6666. Your product is cheap.	matt#dept.gov	2021-03-07
unknown	A stinky product. (333) 444-5555 is my phone.	mike@acme.com	2020-03-01
unknown	Your product is so so.	matt@dept.gov	2021-03-06
negative	An awful product. 3334445555 is my phone.	mike@acme.com	2020-07-19
